account_id,sku_id,ordinal,from_units,to_units,rate,pct_of_list,effective_from,effective_to
ACC-00002,SKU-001,1,0,10000,0.0900,,2026-04-25,2028-05-24
ACC-00002,SKU-001,2,10001,40000,0.0750,,2026-04-25,2028-05-24
ACC-00002,SKU-001,3,40001,80000,0.0600,,2026-04-25,2028-05-24
ACC-00002,SKU-001,4,80001,120000,0.0500,,2026-04-25,2028-05-24
ACC-00002,SKU-001,5,120001,,0.0420,,2026-04-25,2028-05-24
ACC-00002,SKU-001,1,0,10000,0.0850,,2028-05-25,
ACC-00002,SKU-001,2,10001,40000,0.0700,,2028-05-25,
ACC-00002,SKU-001,3,40001,80000,0.0550,,2028-05-25,
ACC-00002,SKU-001,4,80001,,0.0450,,2028-05-25,
ACC-00002,SKU-002,1,0,5000,0.2200,,2026-04-25,
ACC-00002,SKU-002,2,5001,25000,0.1800,,2026-04-25,
ACC-00002,SKU-002,3,25001,50000,0.1400,,2026-04-25,
ACC-00002,SKU-002,4,50001,,0.1100,,2026-04-25,
ACC-00002,SKU-003,1,0,5000,0.0000,,2026-04-25,
ACC-00002,SKU-003,2,5001,30000,0.0400,,2026-04-25,
ACC-00002,SKU-003,3,30001,,0.0300,,2026-04-25,
ACC-00095,SKU-001,1,0,20000,0.0800,,2027-07-04,
ACC-00095,SKU-001,2,20001,60000,0.0650,,2027-07-04,
ACC-00095,SKU-001,3,60001,,0.0500,,2027-07-04,
ACC-00027,SKU-002,1,0,2000,0.2400,,2026-08-29,2029-10-07
ACC-00027,SKU-002,2,2001,5000,0.2100,,2026-08-29,2029-10-07
ACC-00027,SKU-002,3,5001,10000,0.1900,,2026-08-29,2029-10-07
ACC-00027,SKU-002,4,12001,20000,0.1700,,2026-08-29,2029-10-07
ACC-00027,SKU-002,5,20001,30000,0.1500,,2026-08-29,2029-10-07
ACC-00027,SKU-002,6,30001,,0.1200,,2026-08-29,2029-10-07
ACC-00096,SKU-001,1,0,30000,,85,2026-10-31,2029-01-13
ACC-00096,SKU-001,2,30001,70000,,70,2026-10-31,2029-01-13
ACC-00096,SKU-001,3,70001,,,55,2026-10-31,2029-01-13
